Query,Location
địa điểm nghỉ dưỡng nổi tiếng,Phú Quốc|Nha Trang
khám phá thiên nhiên hoang sơ,Đắk Lắk|Gia Lai
địa điểm tham quan lịch sử,Hà Nội|Quảng Ninh
khám phá các hang động,Khu du lịch Phong Nha|Quảng Bình
Đà Lạt-Bảo Lộc-Cát Tiên,Lâm Đồng
Đà Lạt-Đơn Dương-Phan Dũng,Lâm Đồng
Đà Lạt-Lâm Hà-Bảo Lộc,Lâm Đồng
Hà Giang-Quản Bạ-Yên Minh,Hà Giang
Đồng Văn-Mèo Vạc-Hà Giang,Hà Giang
Hoàng Su Phì-Vị Xuyên,Hà Giang
Sapa-Bát Xát-Lào Cai,Lào Cai
Sa Pa-Lào Cai-Tây Bắc,Lào Cai
Bắc Hà-Phố Lu-Hoàng Su Phì,Lào Cai
Hạ Long-Quảng Yên-Cẩm Phả,Quảng Ninh
Vịnh Hạ Long-Quảng Ninh-Cô Tô,Quảng Ninh
Đảo Quan Lạn-Cái Rồng-Móng Cái,Quảng Ninh
Tam Cốc-Bích Động-Tràng An,Ninh Bình
Ninh Bình-Phát Diệm-Cúc Phương,Ninh Bình
Hoa Lư-Bái Đính-Thung Nham,Ninh Bình
Sầm Sơn-Biển Hải Tiến,Thanh Hóa
Pù Luông-Thạch Thành,Thanh Hóa
Thanh Hóa-Vân Du-Biển Hải Tiến,Thanh Hóa
Đền Hùng-Tân Sơn-Hạ Hoà,Phú Thọ
Phú Thọ-Đảo Ngọc Cẩm Phả,Phú Thọ
Vườn quốc gia Xuân Sơn,Phú Thọ
Phú Quốc-Kiên Lương-Hà Tiên,Kiên Giang
Đảo Nam Du-Phú Quốc,Kiên Giang
Kiên Giang-Cà Mau-Hà Tiên,Kiên Giang
Buôn Ma Thuột-Đắk Mil-Đắk Nông,Đắk Lắk
Hồ Lak-Buôn Ma Thuột-Đắk Lắk,Đắk Lắk
Buôn Đôn-Lắk-Đắk Lắk,Đắk Lắk
Quy Nhơn-Kỳ Co-Hải Giang,Bình Định
Bãi Xép-Bãi Dại,Bình Định
Trung Luông-Bình Định-Quy Nhơn,Bình Định
Đồ Sơn-Cat Ba-Phu Luong,Hải Phòng
Hải Phòng-Đồ Sơn,Hải Phòng
Vịnh Lan Hạ-Hải Phòng,Hải Phòng
Vũng Tàu-Long Hải-Bãi Sau,Bà Rịa - Vũng Tàu
Hồ Tràm-Bãi Trước,Bà Rịa - Vũng Tàu
Bãi Dâu-Phước Hải,Bà Rịa - Vũng Tàu
Phong Nha-Kẻ Bàng-Quảng Bình,Quảng Bình
Vũng Chùa-Đảo Yến-Khách Sạn Phong Nha,Quảng Bình
Quảng Bình-Đồng Hới-Phong Nha,Quảng Bình
Huế-Hai Lang-Tuấn-Cảnh Đất,Thừa Thiên - Huế
Lăng Cô-Huế-Hoành Sơn,Thừa Thiên - Huế
Khu di tích Huế-Lăng Tự Đức,Thừa Thiên - Huế
Châu Đốc-Tân Châu-Mỹ Xuyên,An Giang
Rạch Giá-An Giang,An Giang
Long Xuyên-Vĩnh Long-Mỹ Tho,An Giang
Bắc Giang-Thiều-Đường Kéo,Bắc Giang
Hồ Núi Cốc-Bắc Giang,Bắc Giang
Bắc Giang-Công viên Hồ Thái Hoà,Bắc Giang
Ba Vì-Hà Nội-Đảo Bái Tử Long,Hà Nội
Hồ Tây-Hồ Gươm-Long Biên,Hà Nội
Sapa-Hà Giang-Hà Nội,Hà Nội
Phan Thiết-Mũi Né-Bãi Rạng,Bình Thuận
Bàu Trắng-Phan Thiết,Bình Thuận
Cà Ná-Biển Tuy Phong-Phan Thiết,Bình Thuận
Hạ Long-Quảng Ninh,Quảng Ninh
Cửa Đại-Hội An,Hội An
Đà Lạt-Phan Thiết,Bình Thuận
Hồ Tràm-Phan Thiết,Bình Thuận
Bãi Biển Mỹ Khê-Đà Nẵng,Đà Nẵng
Di tích thành cổ Quảng Trị,Quảng Trị
Khe Sanh,Quảng Trị
Cửa Tùng,Quảng Trị
Đảo Cồn Cỏ,Quảng Trị
Bãi biển Mỹ Thạch,Quảng Trị
Vườn quốc gia Phong Điền,Quảng Trị
Địa đạo Vịnh Mốc,Quảng Trị
